Prefix Trie Stemming:
ham = m+ha
facets = s+facet
warmth = th+warm
dignity = y+dignit
livability = y+livabilit
indication = on+indicati
'20's = s+'20'
'40's = s+'40'
woods = s+wood
monotony = y+monoton
pieces = s+piece
walnut = t+walnu
chestnut = t+chestnu
pecan = an+pec
varieties = s+varietie
burl = l+bur
tiles = s+tile
marble = e+marbl
texture = e+textur
permanence = e+permanenc
floors = s+floor
walls = s+wall
windows = s+window
outdoors = s+outdoor
variation = on+variati
insets = s+inset
arches = s+arche
tops = s+top
acacia = a+acaci
serving = ing+serv
snack = k+snac
chests = s+chest
dressers = s+dresser
headboard = ard+headbo
styling = ing+styl
poster = er+post
mirror = or+mirr
fabrics = s+fabric
tones = s+tone
shades = s+shade
finish = h+finis
soil = l+soi
wrinkles = s+wrinkle
forms = s+form
label = el+lab
pedestal = al+pedest
brown = n+brow
ladder = er+ladd
shoji = i+shoj
aspects = s+aspect
substance = e+substanc
maturity = y+maturit
wood = d+woo
bookcases = s+bookcase
gleam = m+glea
copper = er+copp
accessories = s+accessorie
carpet = t+carpe
wool = l+woo
pile = e+pil
dignitaries = s+dignitarie
pool = l+poo
ginghams = s+gingham
calico = o+calic
attire = e+attir
vests = s+vest
rose = e+ros
bluebonnets = s+bluebonnet
stagecoach = h+stagecoac
silhouettes = s+silhouette
sunbonnet = t+sunbonne
messrs = s+messr
mmes = s+mme
travel = el+trav
couples = s+couple
motto = o+mott
buses = s+buse
railway = y+railwa
vicinity = y+vicinit
yearbook = k+yearboo
scrapbook = k+scrapboo
cookie = e+cooki
caramel = el+caram
filling = ing+fill
chocolate = e+chocolat
frosting = ing+frost
finals = s+final
yeast = t+yeas
bread = d+brea
coconut = t+coconu
vanilla = a+vanill
glaze = e+glaz
recipe = e+recip
baking = ing+bak
finalist = t+finalis
arts = s+art
feature = e+featur
architect = t+architec
slides = s+slide
renderings = s+rendering
complex = x+comple
foliage = e+foliag
reservations = s+reservation
passengers = s+passenger
violin = in+viol
concert = t+concer
practicing = ing+practic
linen = en+lin
needles = s+needle
yarn = n+yar
tapestries = s+tapestrie
continents = s+continent
uprisings = s+uprising
showing = ing+show
tapestry = y+tapestr
90% = %+90
hill = l+hil
raincoats = s+raincoat
grammar = ar+gramm
hardship = p+hardshi
pilgrimage = e+pilgrimag
streetcar = ar+streetc
ocean = an+oce
logic = c+logi
fool = l+foo
legs = s+leg
crackpots = s+crackpot
notices = s+notice
edition = on+editi
postman = an+postm
publisher = er+publish
numbers = s+number
addresses = s+addresse
residences = s+residence
marriages = s+marriage
stars = s+star
residence = e+residenc
newcomers = s+newcomer
puppets = s+puppet
lamp = p+lam
puppet = t+puppe
faces = s+face
lamps = s+lamp
accent = t+accen
height = t+heigh
socket = t+socke
inches = s+inche
metal = al+met
tube = e+tub
foot = t+foo
fixture = e+fixtur
accord = d+accor
whims = s+whim
drum = m+dru
shade = e+shad
disharmony = y+disharmon
playtime = e+playtim
circus = s+circu
edge = e+edg
decorators = s+decorator
cabinetmakers = s+cabinetmaker
era = a+er
antiques = s+antique
knocks = s+knock
parlor = or+parl
homemakers = s+homemaker
1960's = s+1960'
decorator = or+decorat
housewives = s+housewive
craftsmen = men+crafts
bonanza = a+bonanz
outfit = t+outfi
skits = s+skit
vocals = s+vocal
comedy = y+comed
instrumentals = s+instrumental
drums = s+drum
guitar = ar+guit
batch = h+batc
instruments = s+instrument
tuba = a+tub
tambourine = e+tambourin
imagination = on+imaginati
props = s+prop
nonsense = e+nonsens
slapstick = k+slapstic
nightclubs = s+nightclub
noise = e+nois
singing = ing+sing
accordion = on+accordi
calypso = o+calyps
capers = s+caper
ringsiders = s+ringsider
rhythm = m+rhyth
reminiscence = e+reminiscenc
repartee = e+reparte
sidemen = men+side
format = t+forma
piano = o+pian
bass = s+bas
trumpet = t+trumpe
keyboarding = ing+keyboard
personality = y+personalit
rapport = t+rappor
boogie = e+boogi
appraisal = al+apprais
ownership = p+ownershi
bossman = an+bossm
decor = or+dec
crystal = al+cryst
chandeliers = s+chandelier
steaks = s+steak
chops = s+chop
beef = f+bee
dish = h+dis
shrimp = p+shrim
bandstand = d+bandstan
pianist = t+pianis
redhead = d+redhea
brunches = s+brunche
buffets = s+buffet
features = s+feature
reunion = on+reuni
chum = m+chu
draft = t+draf
island = d+islan
productions = s+production
ballets = s+ballet
performers = s+performer
symphony = y+symphon
foundation = on+foundati
author = or+auth
lecturer = er+lectur
library = y+librar
$2.50 = 0+$2.5
relationships = s+relationship
librarian = an+librari
workshops = s+workshop
assemblies = s+assemblie
individual = al+individu
doorstep = p+doorste
half = f+hal
brainwashing = ing+brainwash
schoolers = s+schooler
antidote = e+antidot
lecture = e+lectur
major = or+maj
routine = e+routin
vows = s+vow
fundamentals = s+fundamental
grace = e+grac
bedtime = e+bedtim
prayers = s+prayer
stories = s+storie
sexton = on+sext
worship = p+worshi
picnic = c+picni
headmaster = er+headmast
engagements = s+engagement
assignments = s+assignment
box = x+bo
conductors = s+conductor
violinists = s+violinist
pianists = s+pianist
ballet = t+balle
pleasure = e+pleasur
aspect = t+aspec
capitalist = t+capitalis
plot = t+plo
choreography = y+choreograph
assemblage = e+assemblag
enchantment = t+enchantmen
winners = s+winner
contests = s+contest
virtue = e+virtu
friendliness = s+friendlines
frankness = s+franknes
piety = y+piet
suavity = y+suavit
lightness = s+lightnes
sparkle = e+sparkl
refinement = t+refinemen
lady = y+lad
danseur = r+danseu
character = er+charact
cast = t+cas
dreams = s+dream
peasant = t+peasan
style = e+styl
harmonies = s+harmonie
scenery = y+scener
soloists = s+soloist
solos = s+solo
concertmaster = er+concertmast
auspices = s+auspice
$16 = 6+$1
toys = s+toy
toy = y+to
firehouses = s+firehouse
mall = l+mal
warehouse = e+warehous
sex = x+se
ages = s+age
cellist = t+cellis
instrument = t+instrumen
rehearsal = al+rehears
master = er+mast
stuff = f+stuf
immorality = y+immoralit
monument = t+monumen
sins = s+sin
watchers = s+watcher
brutality = y+brutalit
sadism = ism+sad
decadence = e+decadenc
nymphomaniacs = s+nymphomaniac
actors = s+actor
unknowns = s+unknown
credits = s+credit
seaside = e+seasid
villa = a+vill
films = s+film
tease = e+teas
slip = p+sli
drunk = k+drun
knees = s+knee
pillow = ow+pill
feathers = s+feather
fairies = s+fairie
shocker = er+shock
dud = d+du
glories = s+glorie
literature = e+literatur
poets = s+poet
ussr = r+uss
kqed = d+kqe
tip = p+ti
language = e+languag
cap = p+ca
leather = er+leath
lighter = er+light
fluid = d+flui
fins = s+fin
oases = s+oase
gallons = s+gallon
headlights = s+headlight
chrome = e+chrom
sir = r+si
windshield = d+windshiel
nozzle = e+nozzl
tank = k+tan
mileage = e+mileag
$1.80 = 0+$1.8
yesteryear = ar+yesterye
darling = ing+darl
doormen = men+door
caps = s+cap
doorman = an+doorm
blood = d+bloo
craftsman = an+craftsm
furnishings = s+furnishing
sofas = s+sofa
1800's = s+1800'
heirs = s+heir
descendants = s+descendant
acquisition = on+acquisiti
sidechairs = s+sidechair
armchairs = s+armchair
redecoration = on+redecorati
aid's = s+aid'
museum = m+museu
refurbishing = ing+refurbish
rarity = y+rarit
antiquarians = s+antiquarian
mantlepiece = e+mantlepiec
woodcarver = er+woodcarv
designing = ing+design
mantel = el+mant
fireplace = e+fireplac
paneling = ing+panel
associates = s+associate
lawn = n+law
musicians = s+musician
pride = e+prid
dozens = s+dozen
horizon = on+horiz
chamber = er+chamb
tent = t+ten
nuns = s+nun
tag = g+ta
lemonade = e+lemonad
liaison = on+liais
correspondence = e+correspondenc
curator = or+curat
tours = s+tour
visitors = s+visitor
painting = ing+paint
impressionist = t+impressionis
benches = s+benche
downstairs = s+downstair
lobby = y+lobb
gallery = y+galler
aide = e+aid
sculptures = s+sculpture
rotunda = a+rotund
fountain = in+founta
sphynxes = s+sphynxe
historian = an+histori
poet = t+poe
journalist = t+journalis
soldier = er+soldi
musician = an+musici
wreath = th+wrea
crypt = t+cryp
tomb = b+tom
ugf = f+ug
antagonisms = s+antagonism
evenings = s+evening
outsiders = s+outsider
rangers = s+ranger
colors = s+color
haze = e+haz
attitude = e+attitud
exchanges = s+exchange
confrontation = on+confrontati
realities = s+realitie
heads = s+head
deterioration = on+deteriorati
announcements = s+announcement
catastrophe = e+catastroph
stakes = s+stake
encounters = s+encounter
diplomacy = y+diplomac
summit = t+summi
inroads = s+inroad
misunderstanding = ing+misunderstand
denunciation = on+denunciati
propaganda = a+propagand
concessions = s+concession
negotiation = on+negotiati
aims = s+aim
summitry = y+summitr
inauguration = on+inaugurati
smiles = s+smile
toughness = s+toughnes
debates = s+debate
illusion = on+illusi
magic = c+magi
hat = t+ha
hopes = s+hope
adversary = y+adversar
tensions = s+tension
caution = on+cauti
willingness = s+willingnes
councils = s+council
advisability = y+advisabilit
directorate = e+directorat
veto = o+vet
pressures = s+pressure
stalemate = e+stalemat
spread = d+sprea
disarmament = t+disarmamen
principle = e+principl
organs = s+organ
insistence = e+insistenc
episodes = s+episode
impotency = y+impotenc
penetration = on+penetrati
warnings = s+warning
impunity = y+impunit
miscalculation = on+miscalculati
turning = ing+turn
midst = t+mids
deliberations = s+deliberation
reactions = s+reaction
disapproval = al+disapprov
expectation = on+expectati
instincts = s+instinct
adversaries = s+adversarie
pause = e+paus
equation = on+equati
initiative = e+initiativ
conversations = s+conversation
notions = s+notion
disunity = y+disunit
feelings = s+feeling
onus = s+onu
panic = c+pani
scope = e+scop
biologist = t+biologis
mechanisms = s+mechanism
adaptation = on+adaptati
mollusks = s+mollusk
shell = l+shel
scheme = e+schem
biology = y+biolog
accomplishment = t+accomplishmen
brethren = en+brethr
wonder = er+wond
miracle = e+miracl
centuries = s+centurie
minorities = s+minoritie
zeal = al+ze
generosity = y+generosit
retrospect = t+retrospec
allocation = on+allocati
resourcefulness = s+resourcefulnes
sacrifices = s+sacrifice
potential = al+potenti
totals = s+total
detachment = t+detachmen
orientation = on+orientati
identification = on+identificati
devotion = on+devoti
dimension = on+dimensi
comradeship = p+comradeshi
parish = h+paris
marvel = el+marv
anomalies = s+anomalie
duplication = on+duplicati
enrollments = s+enrollment
riot = t+rio
temper = er+temp
tone = e+ton
qualifications = s+qualification
outside = e+outsid
brand = d+bran
participation = on+participati
employee = e+employe
outsider = er+outsid
scholar = ar+schol
citizenship = p+citizenshi
breed = d+bree
temperament = t+temperamen
interests = s+interest
capabilities = s+capabilitie
phrase = e+phras
attainment = t+attainmen
paradox = x+parado
partners = s+partner
grips = s+grip
caliber = er+calib
conferences = s+conference
expressions = s+expression
stereotype = e+stereotyp
academic = c+academi
boycott = t+boycot
gamble = e+gambl
teaching = ing+teach
tenure = e+tenur
import = t+impor
depreciation = on+depreciati
salaries = s+salarie
substitute = e+substitut
intangibles = s+intangible
reservoir = r+reservoi
idealism = ism+ideal
stimulus = s+stimulu
communication = on+communicati
dichotomy = y+dichotom
titles = s+title
technique = e+techniqu
conclusions = s+conclusion
difficulty = y+difficult
campus = s+campu
implement = t+implemen
restriction = on+restricti
equality = y+equalit
disrepute = e+disreput
squabbles = s+squabble
stoppages = s+stoppage
disputes = s+dispute
sums = s+sum
indignation = on+indignati
overtime = e+overtim
$7,500,000 = 0+$7,500,00
regulation = on+regulati
abuses = s+abuse
rationale = e+rational
hypocrisy = y+hypocris
overhead = d+overhea
pricing = ing+pric
manufacture = e+manufactur
enterprises = s+enterprise
giants = s+giant
muscles = s+muscle
monopoly = y+monopol
protection = on+protecti
decree = e+decre
fellows = s+fellow
tool = l+too
theory = y+theor
enforcers = s+enforcer
managements = s+management
facts = s+fact
flood = d+floo
scapegoats = s+scapegoat
usefulness = s+usefulnes
organizations = s+organization
ideology = y+ideolog
dictatorship = p+dictatorshi
penalties = s+penaltie
empires = s+empire
escape = e+escap
sentences = s+sentence
prosecutions = s+prosecution
ineptness = s+ineptnes
writing = ing+writ
organizers = s+organizer
reasoning = ing+reason
ambition = on+ambiti
supply = y+suppl
commodities = s+commoditie
bags = s+bag
wheat = t+whea
subsidy = y+subsid
antagonism = ism+antagon
commodity = y+commodit
customs = s+custom
monopolies = s+monopolie
conspiracies = s+conspiracie
employers = s+employer
combinations = s+combination
hypocrisies = s+hypocrisie
mechanics = s+mechanic
article = e+articl
mechanic = c+mechani
necessity = y+necessit
fixing = ing+fix
measures = s+measure
injunctions = s+injunction
international = al+internation
airlines = s+airline
exemption = on+exempti
steamship = p+steamshi
irrationality = y+irrationalit
guise = e+guis
consumers = s+consumer
immunization = on+immunizati
interpretation = on+interpretati
commerce = e+commerc
understatement = t+understatemen
fronts = s+front
chaos = s+chao
offensives = s+offensive
tanks = s+tank
artillery = y+artiller
embassy = y+embass
consulate = e+consulat
staffs = s+staff
limit = t+limi
breakoff = f+breakof
huddle = e+huddl
cry = y+cr
battalions = s+battalion
readiness = s+readines
aircraft = t+aircraf
carriers = s+carrier
swarm = m+swar
troopships = s+troopship
marines = s+marine
signal = al+sign
exaggeration = on+exaggerati
moral = al+mor
sorts = s+sort
battleground = d+battlegroun
specimen = men+speci
appeasement = t+appeasemen
calamity = y+calamit
intrigue = e+intrigu
drops = s+drop
transports = s+transport
acknowledgment = t+acknowledgmen
sluice = e+sluic
gates = s+gate
bottleneck = k+bottlenec
noses = s+nose
will = l+wil
seniority = y+seniorit
godliness = s+godlines
gait = t+gai
constituents = s+constituent
segregationist = t+segregationis
pretext = t+pretex
ouster = er+oust
electors = s+elector
reprisals = s+reprisal
rebellion = on+rebelli
reprisal = al+repris
whites = s+white
offer = er+off
pork = k+por
barrel = el+barr
cloakrooms = s+cloakroom
caucuses = s+caucuse
caucus = s+caucu
arenas = s+arena
whiplash = h+whiplas
specter = er+spect
chairmanships = s+chairmanship
version = on+versi
contrast = t+contras
guerrilla = a+guerrill
forma = a+form
filibusters = s+filibuster
phalanx = x+phalan
filibuster = er+filibust
ante = e+ant
cloture = e+clotur
modification = on+modificati
convening = ing+conven
chore = e+chor
declaration = on+declarati
presidency = y+presidenc
lap = p+la
pros = s+pro
disbelief = f+disbelie
holes = s+hole
teeth = th+tee
rainstorm = m+rainstor
putt = t+put
mishap = p+misha
scorecard = ard+scorec
tears = s+tear
trophy = y+troph
sand = d+san
wedge = e+wedg
slope = e+slop
tower = er+tow
composure = e+composur
amazement = t+amazemen
rounds = s+round
topnotch = h+topnotc
jitters = s+jitter
footnotes = s+footnote
sight = t+sigh
prestige = e+prestig
winnings = s+winning
draw = aw+dr
threesome = e+threesom
chapter = er+chapt
duels = s+duel
golfers = s+golfer
worry = y+worr
consequences = s+consequence
horde = e+hord
match = h+matc
putter = er+putt
treacheries = s+treacherie
focus = s+focu
scoreboards = s+scoreboard
twosome = e+twosom
contender = er+contend
birdie = e+birdi
pars = s+par
birdies = s+birdie
bogey = y+boge
roar = ar+ro
landscape = e+landscap
grimace = e+grimac
vocalization = on+vocalizati
fairways = s+fairway
vehemence = e+vehemenc
boldness = s+boldnes
aggressiveness = s+aggressivenes
dogleg = g+dogle
pine = e+pin
bogeys = s+bogey
sublime = e+sublim
teammate = e+teammat
awe = e+aw
zone = e+zon
thinning = ing+thinn
peril = l+peri
endurance = e+enduranc
jeopardy = y+jeopard
epicure = e+epicur
athlete = e+athlet
challenger = er+challeng
spurt = t+spur
paces = s+pace
flourish = h+flouris
quote = e+quot
mvp = p+mv
$251 = 1+$25
couch = h+couc
cooking = ing+cook
breakfast = t+breakfas
sandwich = h+sandwic
convertible = e+convertibl
roommates = s+roommate
backgrounds = s+background
halfbacks = s+halfback
minors = s+minor
extent = t+exten
hair = r+hai
backs = s+back
shoulders = s+shoulder
intellectual = al+intellectu
opus = s+opu
minds = s+mind
passages = s+passage
speaking = ing+speak
reporter = er+report
trait = t+trai
ballplayer = er+ballplay
pleasant = t+pleasan
photographers = s+photographer
locker = er+lock
anecdote = e+anecdot
occasions = s+occasion
gentlemen = men+gentle
heroes = s+heroe
sportswriter = er+sportswrit
vow = ow+v
ties = s+tie
zinc = c+zin
mine = e+min
cents = s+cent
railroading = ing+railroad
stances = s+stance
swings = s+swing
bunters = s+bunter
seconds = s+second
dash = h+das
fielders = s+fielder
weapon = on+weap
pal = al+p
entourage = e+entourag
sweater = er+sweat
cats = s+cat
ringside = e+ringsid
ensembles = s+ensemble
stitch = h+stitc
commandant = t+commandan
accumulation = on+accumulati
vines = s+vine
weeds = s+weed
moldboard = ard+moldbo
rein = in+re
geeing = ing+gee
hawing = ing+haw
tilling = ing+till
socks = s+sock
window = ow+wind
buss = s+bus
undergraduate = e+undergraduat
cacophonist = t+cacophonis
tutors = s+tutor
classmates = s+classmate
lad = d+la
cover = er+cov
gumption = on+gumpti
sportsman = an+sportsm
rallies = s+rallie
crowns = s+crown
exhaust = t+exhaus
slob = b+slo
virtues = s+virtue
eulogizers = s+eulogizer
experiment = t+experimen
impressions = s+impression
jetliners = s+jetliner
enigma = a+enigm
wealth = th+weal
eccentricity = y+eccentricit
ardor = or+ard
headlines = s+headline
legend = d+legen
fortune = e+fortun
boom = m+boo
bargain = in+barga
continent = t+continen
drivers = s+driver
bellboys = s+bellboy
$1,500,000 = 0+$1,500,00
prizes = s+prize
treasures = s+treasure
revenge = e+reveng
applicant = t+applican
classrooms = s+classroom
kindergarten = en+kindergart
pretexts = s+pretext
skins = s+skin
journalism = ism+journal
investigators = s+investigator
roommate = e+roommat
ritual = al+ritu
prostitution = on+prostituti
beatnik = k+beatni
teahouse = e+teahous
plaintiffs = s+plaintiff
hunt = t+hun
grads = s+grad
statesmen = men+states
successors = s+successor
scholars = s+scholar
physiology = y+physiolog
genes = s+gene
heredity = y+heredit
reign = n+reig
typhoon = on+typho
enrollment = t+enrollmen
endowment = t+endowmen
$139.3 = 3+$139.
researchers = s+researcher
delight = t+deligh
$300 = 0+$30
philosopher = er+philosoph
finger = er+fing
grabbing = ing+grabb
wilderness = s+wildernes
tribes = s+tribe
boundaries = s+boundarie
geography = y+geograph
groupings = s+grouping
explorers = s+explorer
gunmen = men+gun
culture = e+cultur
dialects = s+dialect
religions = s+religion
paganism = ism+pagan
ancestor = or+ancest
animism = ism+anim
patients = s+patient
disparities = s+disparitie
conscience = e+conscienc
paternalism = ism+paternal
colonialism = ism+colonial
independence = e+independenc
infant = t+infan
tin = in+t
cobalt = t+cobal
manganese = e+manganes
uranium = m+uraniu
palm = m+pal
beneficiaries = s+beneficiarie
cartels = s+cartel
colossus = s+colossu
compassion = on+compassi
ration = on+rati
carpenters = s+carpenter
elite = e+elit
unrest = t+unres
oversimplification = on+oversimplificati
gale = e+gal
colonies = s+colonie
pedagogue = e+pedagogu
mess = s+mes
motivations = s+motivation
federalism = ism+federal
moderates = s+moderate
hurry = y+hurr
fragmentation = on+fragmentati
provinces = s+province
premier = er+premi
frictions = s+friction
tribesmen = men+tribes
mutiny = y+mutin
civilians = s+civilian
paratroops = s+paratroop
wording = ing+word
withdrawal = al+withdraw
wars = s+war
secessionist = t+secessionis
obstructionist = t+obstructionis
mercenaries = s+mercenarie
65% = %+65
directive = e+directiv
lull = l+lul
taking = ing+tak
occurrence = e+occurrenc
resort = t+resor
reconvention = on+reconventi
reliance = e+relianc
imbroglio = o+imbrogli
emissary = y+emissar
abstention = on+abstenti
emissaries = s+emissarie
stopovers = s+stopover
stewardess = s+stewardes
aisle = e+aisl
stomach = h+stomac
hold = d+hol
pirates = s+pirate
guns = s+gun
skyjackers = s+skyjacker
recruits = s+recruit
nap = p+na
nut = t+nu
recruiter = er+recruit
hostages = s+hostage
boxer = er+box
hijackers = s+hijacker
airplane = e+airplan
embargo = o+embarg
shadows = s+shadow
baggage = e+baggag
luggage = e+luggag
slug = g+slu
ultimatum = m+ultimatu
slugs = s+slug
engines = s+engine
halt = t+hal
ambulances = s+ambulance
stewardesses = s+stewardesse
pocket = t+pocke
$100,000 = 0+$100,00
precedence = e+precedenc
unanimity = y+unanimit
peacetime = e+peacetim
mutterers = s+mutterer
expedient = t+expedien
$46.7 = 7+$46.
$754 = 4+$75
bombers = s+bomber
$5.2 = 2+$5.
stew = w+ste
menu = u+men
smelts = s+smelt
crabs = s+crab
grapefruit = t+grapefrui
bean = an+be
soup = p+sou
citizenry = y+citizenr
turnpikes = s+turnpike
toll = l+tol
payoff = f+payof
streams = s+stream
speculations = s+speculation
investments = s+investment
rises = s+rise
declines = s+decline
investor = or+invest
$16,000 = 0+$16,00
$32,000 = 0+$32,00
lags = s+lag
turnpike = e+turnpik
extensions = s+extension
tolls = s+toll
access = s+acces
illustration = on+illustrati
bypass = s+bypas
deficiency = y+deficienc
opportunities = s+opportunitie
planners = s+planner
default = t+defaul
margins = s+margin
typewriters = s+typewriter
fraction = on+fracti
exports = s+export
layout = t+layou
inflow = ow+infl
vigor = or+vig
textiles = s+textile
imports = s+import
textile = e+textil
dumping = ing+dump
quotas = s+quota
stabilization = on+stabilizati
clue = e+clu
thinking = ing+think
modernization = on+modernizati
shrinkage = e+shrinkag
handwriting = ing+handwrit
coal = al+co
miners = s+miner
mouths = s+mouth
steelmaker = er+steelmak
takings = s+taking
markets = s+market
$2.80 = 0+$2.8
ton = on+t
rail = l+rai
mines = s+mine
mechanization = on+mechanizati
seams = s+seam
productivity = y+productivit
borrower = er+borrow
fiction = on+ficti
rentals = s+rental
variations = s+variation
libraries = s+librarie
grist = t+gris
readers = s+reader
lovers = s+lover
nonfiction = on+nonficti
clientele = e+clientel
wants = s+want
budgets = s+budget
plight = t+pligh
limitations = s+limitation
bounty = y+bount
contrasts = s+contrast
density = y+densit
extreme = e+extrem
autonomy = y+autonom
advantages = s+advantage
librarians = s+librarian
volumes = s+volume
nucleus = s+nucleu
capita = a+capit
tools = s+tool
backbone = e+backbon
specialization = on+specializati
microfilm = m+microfil
periodicals = s+periodical
teletype = e+teletyp
truck = k+truc
canvas = s+canva
psychology = y+psycholog
religion = on+religi
biography = y+biograph
repository = y+repositor
bulk = k+bul
discounts = s+discount
bookkeeping = ing+bookkeep
billing = ing+bill
resource = e+resourc
documentary = y+documentar
catalogue = e+catalogu
classics = s+classic
responsibilities = s+responsibilitie
conducts = s+conduct
visits = s+visit
purchasing = ing+purchas
sample = e+sampl
copies = s+copie
lists = s+list
grassroots = s+grassroot
displays = s+display
booklists = s+booklist
brochures = s+brochure
newsletter = er+newslett
citizen = en+citiz
advances = s+advance
slave = e+slav
restraint = t+restrain
inadequacy = y+inadequac
pupils = s+pupil
conjunction = on+conjuncti
musts = s+must
turmoil = l+turmoi
shuffle = e+shuffl
drag = g+dra
racing = ing+rac
limits = s+limit
repeal = al+repe
banning = ing+bann
fireworks = s+firework
reappraisal = al+reapprais
spate = e+spat
resolutions = s+resolution
empire = e+empir
answers = s+answer
windup = p+windu
dictum = m+dictu
governors = s+governor
wolves = s+wolve
newspapermen = men+newspaper
cons = s+con
regularity = y+regularit
$83,750 = 0+$83,75
$30,000 = 0+$30,00
undertaking = ing+undertak
retaliation = on+retaliati
delusion = on+delusi
deterrence = e+deterrenc
stance = e+stanc
extremity = y+extremit
leeway = y+leewa
brushfire = e+brushfir
aggressions = s+aggression
bluff = f+bluf
brinkmanship = p+brinkmanshi
sanitation = on+sanitati
digest = t+diges
imperialists = s+imperialist
chin = in+ch
industrialization = on+industrializati
$1,750,000 = 0+$1,750,00
$1,250,000 = 0+$1,250,00
hunk = k+hun
nurses = s+nurse
$3.15 = 5+$3.1
assassination = on+assassinati
tyrant = t+tyran
dictator = or+dictat
fiefdom = m+fiefdo
deal = al+de
deaths = s+death
abduction = on+abducti
schemes = s+scheme
demise = e+demis
silence = e+silenc
grave = e+grav
criticism = ism+critic
vanity = y+vanit
displeasure = e+displeasur
lobbies = s+lobbie
friendship = p+friendshi
repression = on+repressi
tyranny = y+tyrann
confines = s+confine
censure = e+censur
rapprochement = t+rapprochemen
totalitarianism = ism+totalitarian
left = t+lef
puzzle = e+puzzl
stability = y+stabilit
vacuum = m+vacuu
authoritarianism = ism+authoritarian
twist = t+twis
fear = ar+fe
ncta = a+nct
outline = e+outlin
parkway = y+parkwa
inference = e+inferenc
barricades = s+barricade
dismemberment = t+dismembermen
wartime = e+wartim
zones = s+zone
blockade = e+blockad
airlift = t+airlif
sector = or+sect
closing = ing+clos
notes = s+note
protest = t+protes
taunts = s+taunt
replies = s+replie
fusillades = s+fusillade
glass = s+glas
hooliganism = ism+hooligan
misgivings = s+misgiving
salami = i+salam
dispatch = h+dispatc
stiffening = ing+stiffen
indignities = s+indignitie
buffalo = o+buffal
bison = on+bis
grassland = d+grasslan
dome = e+dom
prairie = e+prairi
conquest = t+conques
cinema = a+cinem
canyons = s+canyon
seas = s+sea
valleys = s+valley
zoo = o+zo
specimens = s+specimen
folds = s+fold
grasslands = s+grassland
silo = o+sil
settlers = s+settler
distiller = er+distill
prohibition = on+prohibiti
commercials = s+commercial
ads = s+ad
nab = b+na
glamour = r+glamou
bourbon = on+bourb
whisky = y+whisk
toothpaste = e+toothpast
viewer = er+view
faction = on+facti
links = s+link
ills = s+ill
shortcomings = s+shortcoming
regulars = s+regular
bosses = s+bosse
sticks = s+stick
fighting = ing+fight
stick = k+stic
dealings = s+dealing
bluffs = s+bluff
pawn = n+paw
casualties = s+casualtie
terrain = in+terra
enjoyment = t+enjoymen
aim = m+ai
concept = t+concep
rightist = t+rightis
coup = p+cou
minority = y+minorit
etv = v+et
let = t+le
$1,000,000 = 0+$1,000,00
habitat = t+habita
liberal = al+liber
conservative = e+conservativ
partisans = s+partisan
persuasion = on+persuasi
politician = an+politici
retraction = on+retracti
audiences = s+audience
growl = l+grow
nod = d+no
dramas = s+drama
well = l+wel
chatter = er+chatt
flourishes = s+flourishe
generations = s+generation
fdr = r+fd
revolution = on+revoluti
fighter = er+fight
partisan = an+partis
presidents = s+president
campaigns = s+campaign
airmen = men+air
cause = e+caus
banner = er+bann
jungle = e+jungl
bloodlust = t+bloodlus
murderers = s+murderer
river = er+riv
excuse = e+excus
atrocities = s+atrocitie
savages = s+savage
nationhood = d+nationhoo
rapes = s+rape
troop = p+troo
mutinies = s+mutinie
pillage = e+pillag
adventures = s+adventure
sanction = on+sancti
occurrences = s+occurrence
outlawry = y+outlawr
anarchy = y+anarch
ruin = in+ru
expediency = y+expedienc
mandate = e+mandat
realism = ism+real
courage = e+courag
magnitude = e+magnitud
editorial = al+editori
telegraphers = s+telegrapher
attrition = on+attriti
internationalists = s+internationalist
bar = ar+b
lads = s+lad
humidity = y+humidit
imperfection = on+imperfecti
brief = f+brie
covenant = t+covenan
jumper = er+jump
moon = on+mo
wallop = p+wallo
oafs = s+oaf
pacifier = er+pacifi
dimensions = s+dimension
bang = g+ban
kicks = s+kick
seminar = ar+semin
coexistence = e+coexistenc
fools = s+fool
marimba = a+marimb
domes = s+dome
hijacking = ing+hijack
craft = t+craf
mortification = on+mortificati
admirer = er+admir
gunman = an+gunm
recruit = t+recrui
conventions = s+convention
contents = s+content
millennium = m+millenniu
moralities = s+moralitie
demurrer = er+demurr
incompetence = e+incompetenc
rations = s+ration
suspension = on+suspensi
truckers = s+trucker
barge = e+barg
maze = e+maz
shockwave = e+shockwav
machinegun = n+machinegu
bullets = s+bullet
conflicts = s+conflict
solutions = s+solution
outbreaks = s+outbreak
passing = ing+pass
mankind = d+mankin
consensus = s+consensu
indenture = e+indentur
minimum = m+minimu
$15.5 = 5+$15.
$500,000 = 0+$500,00
financing = ing+financ
ventures = s+venture
$8.5 = 5+$8.
compilation = on+compilati
paragraphs = s+paragraph
calm = m+cal
complaints = s+complaint
spectrum = m+spectru
unification = on+unificati
voting = ing+vot
chancellor = or+chancell
parliament = t+parliamen
wizard = ard+wiz
rebirth = th+rebir
soul = l+sou
resolve = e+resolv
firmness = s+firmnes
flexibility = y+flexibilit
joiners = s+joiner
joiner = er+join
spectacle = e+spectacl
root = t+roo
blanket = t+blanke
accusations = s+accusation
affinity = y+affinit
